(6256300, 492400)
(13890500, 555500)
(7863600, 400900)
(6949100, 404500)
(6196000, 406300)
(12144000, 500600)
(4192600, 233400)
(8512200, 460200)
(4282100, 307800)
(9462300, 502000)
(2693700, 271000)
(12721600, 516400)
(2332800, 243600)
(12187900, 551800)
(7460300, 478700)
(7670100, 411000)
(12343500, 529500)
(8504400, 454700)
(4280900, 257200)
(8163000, 473700)
(7964600, 441100)
(5740400, 367400)
(6579300, 419600)
(4949500, 289900)
(7734600, 392100)
(13858300, 528800)
(4185600, 311900)
(12599100, 529400)
(11648600, 535200)
(3135500, 266600)
(10153700, 438700)
(9276800, 472800)
(7116000, 384900)
(9717800, 467700)
(7544400, 387100)
(9507400, 467500)
(11924300, 544100)
(13369800, 552700)
(8369100, 415900)
(4259500, 314000)
(8036400, 420300)
(6497500, 354100)
(8793400, 458000)
(6469500, 329500)
(7173000, 420600)
(10838300, 516100)
(9157900, 443000)
(7668100, 399200)
(10832700, 466600)
(9337000, 389200)
(9878500, 509300)
(12822500, 527700)
(5136100, 360800)
(7475700, 373400)
(5642500, 288600)
(6641700, 342100)
(9781100, 576200)
(4722300, 354000)
(3078600, 240300)
(4353600, 249800)
(5215500, 291400)
(11053900, 453500)
(10981300, 544300)
(8535900, 434800)
(11882600, 546600)
(7291700, 390500)
(12275800, 512300)
(6843600, 395300)
(13059100, 543700)
(6450700, 393100)
(7056300, 355600)
(12504000, 540600)
(4327200, 296900)
(5887800, 313900)
(10334300, 465100)
(7310000, 429100)
(8633800, 367900)
(7921500, 398600)
(10534400, 496100)
(12374400, 524700)
(7046600, 393800)
(11608000, 502900)
(6027900, 374300)
(8731600, 416500)
(9142500, 452800)
(12540500, 535600)
(3537200, 240000)
(10717800, 505200)
(5203500, 335100)
(6194400, 332500)
(5481400, 381800)
(12432200, 542900)
(10638900, 798700)
(3622000, 267600)
(6247700, 382700)
(8380200, 472000)
(8125700, 468000)
(11308100, 504500)
(11999100, 547800)
(6485400, 398500)
